,id,host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude_x,longitude_x,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,instant_bookable,calculated_host_listings_count,historic site,museum,metro,music venue,perfomring arts venue,college and university,food,nightlife spot,outdoors and recreation,government building,clothing store,popular,days_being_host,days_since_first_review,days_since_last_review,name_word_count,name_neutral_sentiment,name_negative_sentiment,name_positive_sentiment,name_compound_sentiment,description_word_count,description_neutral_sentiment,description_negative_sentiment,description_positive_sentiment,description_compound_sentiment,neighborhood_overview_word_count,neighborhood_overview_neutral_sentiment,neighborhood_overview_negative_sentiment,neighborhood_overview_positive_sentiment,neighborhood_overview_compound_sentiment,host_about_word_count,host_about_neutral_sentiment,host_about_negative_sentiment,host_about_positive_sentiment,host_about_compound_sentiment,wifi,smoke alarm,essentials,heating,air conditioning,hangers,iron,kitchen,long term stays allowed,hair dryer,carbon monoxide alarm,hot water,shampoo,dedicated workspace,dishes and silverware,microwave,washer,dryer,fire extinguisher,refrigerator,coffee maker,cooking basics,private entrance,bed linens,stove,oven,free street parking,dishwasher,first aid kit,extra pillows and blankets,tv,patio or balcony
10,22453,32067,within a day,1.0,0.35,0,1,1,"Dupont Circle, Connecticut Avenue/K Street",38.91086,-77.03476,Shared room,1,1.0,1.0,1.0,"['Cooking basics', 'Dedicated workspace', 'Patio or balcony', 'Smoke alarm', 'Cable TV', 'Shampoo', 'Refrigerator', 'Iron', 'Paid parking off premises', 'Heating', 'Indoor fireplace', 'Air conditioning', 'Hot water', 'Stove', 'Hangers', 'Oven', 'TV with standard cable', 'Kitchen', 'Carbon monoxide alarm', 'Essentials', 'Coffee maker', 'Hair dryer', 'Dishwasher', 'Dishes and silverware', 'Wifi', 'Washer', 'Dryer']",90.0,2,4,2.0,4.0,25,55,84,84,0,2,36,28,2,15,46,44,50,50,45,48,47,1,4346,2238,42,5,0.361,0.0,0.639,0.6486,167,0.858,0.0,0.142,0.9757,138,0.716,0.054,0.229,0.9828,53,0.748,0.0,0.252,0.926,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1
11,25243,104340,unknown,0.96,0.9,0,1,1,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.88107,-77.01891,Entire home/apt,8,2.5,3.0,5.0,"['Cable TV', 'First aid kit', 'Lockbox', 'TV with standard cable', 'Security cameras on property', 'Carbon monoxide alarm', 'Kitchen', 'Long term stays allowed', 'Heating', 'Air conditioning', 'Fire extinguisher', 'Wifi', 'Washer', 'Smoke alarm', 'Free parking on premises', 'Dryer']",379.0,1,90,1.0,90.0,12,39,69,337,1,2,6,1,2,5,7,11,50,50,46,48,5,0,4114,1701,27,4,1.0,0.0,0.0,0.0,170,0.894,0.022,0.084,0.9065,13,0.714,0.078,0.208,0.4588,9,0.761,0.0,0.239,0.296,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
12,54112,253258,within a few hours,1.0,0.25,1,1,0,"Dupont Circle, Connecticut Avenue/K Street",38.91234,-77.03482,Entire home/apt,2,1.0,1.0,1.0,"['Cooking basics', 'Lockbox', 'Dedicated workspace', 'Long term stays allowed', 'Smoke alarm', 'Cable TV', 'Shampoo', 'Refrigerator', 'Iron', 'Heating', 'Fire extinguisher', 'Air conditioning', 'Hot water', 'Stove', 'Hangers', 'Oven', 'TV with standard cable', 'Kitchen', 'Carbon monoxide alarm', 'Coffee maker', 'Hair dryer', 'Dishwasher', 'Dishes and silverware', 'Microwave', 'Wifi', 'Washer', 'Dryer']",195.0,3,365,3.0,365.0,17,47,77,352,0,1,36,28,2,15,46,44,50,50,45,48,47,1,3933,2120,221,8,1.0,0.0,0.0,0.0,175,0.777,0.01,0.213,0.9902,71,0.842,0.039,0.119,0.6124,82,0.715,0.0,0.285,0.9826,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0
13,67483,332901,within a few hours,1.0,1.0,1,1,1,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.934628,-77.029839,Entire home/apt,3,1.0,1.0,1.0,"['Lockbox', 'Dedicated workspace', 'Long term stays allowed', 'Luggage dropoff allowed', 'Pack \\u2019n Play/travel crib', 'Smoke alarm', 'Shampoo', 'Refrigerator', 'Bathtub', 'Heating', 'Air conditioning', 'Hot water', 'Hangers', 'Essentials', 'Coffee maker', 'Hair dryer', 'Dishes and silverware', 'Free street parking', 'Microwave', 'Wifi', 'Iron']",99.0,30,730,30.0,730.0,1,6,36,311,0,1,7,2,3,22,23,50,50,50,46,39,29,0,3843,2074,11,6,0.441,0.0,0.559,0.5859,178,0.864,0.023,0.112,0.9538,58,0.935,0.0,0.065,0.5719,65,0.858,0.0,0.142,0.872,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
14,150109,723470,within a few hours,1.0,0.5,0,1,1,"Dupont Circle, Connecticut Avenue/K Street",38.91525,-77.04001,Entire home/apt,2,1.0,1.0,1.0,"['Lockbox', 'Dedicated workspace', 'Long term stays allowed', 'Patio or balcony', 'Extra pillows and blankets', 'Smoke alarm', 'Shampoo', 'Refrigerator', 'Iron', 'Heating', 'Fire extinguisher', 'Air conditioning', 'Hot water', 'Stove', 'Hangers', 'Washer', 'Bed linens', 'Oven', 'Kitchen', 'Carbon monoxide alarm', 'Essentials', 'Dishes and silverware', 'Hair dryer', 'Free street parking', 'Wifi', 'Cooking basics', 'Dryer']",135.0,5,365,5.0,365.0,0,2,2,94,0,1,36,28,2,15,46,44,50,50,45,48,47,0,3674,3537,169,5,0.278,0.0,0.722,0.8316,136,0.796,0.057,0.147,0.8676,177,0.953,0.017,0.03,0.34,98,0.825,0.0,0.175,0.9449,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1
15,153545,738459,within an hour,1.0,0.96,1,1,1,"Brightwood Park, Crestwood, Petworth",38.94286,-77.04417,Private room,1,2.0,1.0,1.0,"['Cooking basics', 'First aid kit', 'Dedicated workspace', 'Long term stays allowed', 'Patio or balcony', 'Extra pillows and blankets', 'Smoke alarm', 'Cable TV', 'Shampoo', 'Refrigerator', 'Iron', 'Heating', 'Fire extinguisher', 'Indoor fireplace', 'Air conditioning', 'Building staff', 'Hot water', 'Stove', 'Hangers', 'Lock on bedroom door', 'BBQ grill', 'Bed linens', 'Oven', 'TV with standard cable', 'Kitchen', 'Carbon monoxide alarm', 'Essentials', 'Coffee maker', 'Hair dryer', 'Dishes and silverware', 'Free street parking', 'Microwave', 'Wifi', 'Washer', 'Backyard', 'Free parking on premises', 'Dryer']",59.0,30,1120,30.0,1120.0,0,26,56,331,0,5,1,1,1,3,5,8,48,15,47,10,10,0,3670,3366,139,8,1.0,0.0,0.0,0.0,176,0.749,0.012,0.24,0.9919,53,0.598,0.085,0.318,0.9432,90,0.817,0.0,0.183,0.9468,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1
16,174808,835242,within a day,1.0,0.57,0,1,0,Historic Anacostia,38.86432,-76.98749,Private room,2,1.0,1.0,1.0,"['Breakfast', 'First aid kit', 'Shampoo', 'Refrigerator', 'Carbon monoxide alarm', 'Long term stays allowed', 'Hangers', 'Essentials', 'Washer', 'Heating', 'Air conditioning', 'Fire extinguisher', 'Free street parking', 'Wifi', 'Iron', 'Smoke alarm', 'Free parking on premises', 'Dryer']",75.0,2,1125,2.0,1125.0,26,54,84,174,0,4,1,2,1,0,3,10,25,5,28,21,5,0,3646,1149,125,4,1.0,0.0,0.0,0.0,103,0.737,0.025,0.238,0.9764,0,0.0,0.0,0.0,0.0,74,0.78,0.031,0.189,0.9245,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
17,175608,50148,within a few hours,0.77,0.79,0,1,1,"Shaw, Logan Circle",38.90756,-77.02212,Entire home/apt,4,1.0,2.0,2.0,"['Lockbox', 'Hot water', 'Bathtub', 'Kitchen', 'Carbon monoxide alarm', 'Refrigerator', 'Paid parking off premises', 'Shower gel', 'Long term stays allowed', 'Free street parking', 'Heating', 'Air conditioning', 'Microwave', 'Washer', 'Bed linens', 'Smoke alarm']",55.0,7,365,7.0,365.0,15,45,75,350,0,2,31,28,5,24,38,46,50,50,44,47,48,0,4271,2078,25,5,1.0,0.0,0.0,0.0,179,0.855,0.06,0.085,0.5789,0,0.0,0.0,0.0,0.0,24,1.0,0.0,0.0,0.0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
18,195344,949856,within an hour,1.0,0.4,0,1,0,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90007,-77.01605,Entire home/apt,4,1.5,1.0,2.0,"['Cooking basics', 'Elevator', 'Dedicated workspace', 'Long term stays allowed', 'Extra pillows and blankets', 'Smoke alarm', 'Cable TV', 'Shampoo', 'Refrigerator', 'Paid parking off premises', 'Heating', 'Air conditioning', 'Hot water', 'Stove', 'Hangers', 'Bed linens', 'Oven', 'TV with standard cable', 'Kitchen', 'Carbon monoxide alarm', 'Essentials', 'Coffee maker', 'Hair dryer', 'Dishwasher', 'Dishes and silverware', 'Microwave', 'Ethernet connection', 'Wifi', 'Iron']",149.0,2,730,2.0,730.0,10,25,47,307,0,1,42,48,8,16,37,42,50,50,48,50,49,0,3623,2787,303,5,1.0,0.0,0.0,0.0,164,0.771,0.089,0.14,0.875,27,0.678,0.0,0.322,0.908,204,0.815,0.016,0.169,0.9732,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0
19,196429,956417,within a day,1.0,0.5,0,1,1,"Takoma, Brightwood, Manor Park",38.96923,-77.02041,Entire home/apt,3,1.0,1.0,2.0,"['Cooking basics', 'First aid kit', 'Lockbox', 'Dedicated workspace', 'Long term stays allowed', 'Patio or balcony', 'Luggage dropoff allowed', 'Smoke alarm', 'Shampoo', 'Refrigerator', 'Bathtub', 'Cleaning before checkout', 'Iron', 'Private entrance', 'Heating', 'Fire extinguisher', 'Air conditioning', 'Hot water', 'Stove', 'Hangers', 'Gym', 'Oven', 'Kitchen', 'Carbon monoxide alarm', 'Essentials', 'Dishes and silverware', 'Hair dryer', 'Free street parking', 'Microwave', 'Wifi', 'Washer', 'Backyard', 'Dryer']",125.0,2,1825,2.0,1825.0,29,59,89,364,0,1,6,1,1,4,10,8,50,13,39,5,2,0,3622,3001,284,7,0.732,0.0,0.268,0.296,171,0.871,0.01,0.12,0.946,35,0.655,0.0,0.345,0.936,83,0.83,0.026,0.144,0.8689,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1
20,198685,966613,within a day,0.7,0.28,0,1,1,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.93395,-77.01625,Private room,2,1.5,1.0,1.0,"['Cooking basics', 'First aid kit', 'Keypad', 'Long term stays allowed', 'Smoke alarm', 'Shampoo', 'Refrigerator', 'Iron', 'Heating', 'Fire extinguisher', 'Indoor fireplace', 'Air conditioning', 'Hot water', 'Hangers', 'TV', 'Kitchen', 'Carbon monoxide alarm', 'Essentials', 'Coffee maker', 'Hair dryer', 'Dishes and silverware', 'Free street parking', 'Microwave', 'Wifi', 'Washer', 'Backyard', 'Dryer']",45.0,1,365,1.0,365.0,0,0,0,192,0,2,2,2,0,7,12,50,50,45,44,31,13,0,3620,3353,36,5,1.0,0.0,0.0,0.0,116,0.868,0.0,0.132,0.9313,41,0.7,0.075,0.225,0.8674,61,0.873,0.0,0.127,0.743,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0
21,201116,983611,within an hour,1.0,0.94,0,1,1,"Takoma, Brightwood, Manor Park",38.97474,-77.01997,Entire home/apt,2,1.0,1.0,2.0,"['Cable TV', 'TV with standard cable', 'Kitchen', 'Long term stays allowed', 'Heating', 'Air conditioning', 'Wifi', 'Washer', 'Dryer']",90.0,1,730,1.0,730.0,13,20,50,325,0,1,6,1,1,4,10,8,50,13,39,5,2,0,3616,2963,9,4,1.0,0.0,0.0,0.0,188,0.899,0.0,0.101,0.9517,0,0.0,0.0,0.0,0.0,87,0.639,0.013,0.348,0.9873,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,205809,1012315,within a day,1.0,1.0,0,1,1,"Brightwood Park, Crestwood, Petworth",38.95777,-77.02146,Entire home/apt,6,3.0,3.0,2.0,"['Cooking basics', 'Babysitter recommendations', 'First aid kit', 'Toaster', 'Free driveway parking on premises', 'Lockbox', 'Free dryer \\u2013 In unit', 'Long term stays allowed', 'Patio or balcony', 'Stainless steel gas stove', 'Luggage dropoff allowed', 'Smoke alarm', 'Dining table', 'Shampoo', 'Refrigerator', 'Bathtub', 'Central air conditioning', 'Piano', 'Drying rack for clothing', 'Fire extinguisher', 'Freezer', 'Conditioner', 'Cleaning products', 'Hot water', 'Board games', 'Dedicated workspace: table', 'Stainless steel oven', 'Hangers', 'Room-darkening shades', 'Body soap', 'Baking sheet', 'Children\\u2019s books and toys for ages 0-2 years old and 2-5 years old', 'Kitchen', 'Carbon monoxide alarm', 'High chair', 'Outdoor furniture', 'Essentials', 'Ceiling fan', 'Hair dryer', 'Dishwasher', 'Dishes and silverware', 'Central heating', 'Portable fans', 'Wifi', 'Wine glasses', 'Iron', 'Microwave', 'Free washer \\u2013 In unit', 'Free street parking']",199.0,4,60,4.0,60.0,27,57,87,362,0,1,1,1,1,3,5,8,48,15,47,10,10,0,3610,13,761,7,1.0,0.0,0.0,0.0,168,0.876,0.068,0.056,-0.2732,39,0.825,0.0,0.175,0.8126,33,0.668,0.0,0.332,0.9371,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1
